active,track,name,desc,maxSpeed (m/s),maxAcceleration,maxDeceleration,capacityPerCar,carLength,minCars,maxCars,carsPerCarSet,trainWidth,maxStationLength,carCost,trainOperationalCostPerHour,carOperationalCostPerHour,color,,,,,,,,,id,class,typeName,canCrossRoads,maxSpeedLocalStation,baseTrackCost,baseStationCost,scissorsCrossoverCost,Electrification,Voltage,Track Gauge,Loading Gauge,train CostPerHour,car CostPerHour,desc,,,
TRUE,S700,"LRT: Classic DC, LRT: Modern DC, LRT: HV DC",The S700 series are articulated low-floor light-rail vehicles built by Siemens that have been in service across North America since 2004. This specific model is based on those recieved in 2020 by Metro Transit in Minnesota.,24.4,1.34,1.34,58,9.58,6,12,3,2.65,120,2185000,200,20,#008244,348,696,"US, US, US, US, US, US","SEA, POR, SLC, HOU, MSP, PHX",Siemens,Standard LRT,LRT,"North America, North America, North America, North America, North America, North America",lrt-1,Standard LRT,LRT: Classic DC,TRUE,6.7,17500,25000000,6000000,catenary,Classical DC,Standard,Metro Standard,200,20,This is a standard LRT system (2.65m wide) which uses 600V DC.,standard-lrt-catenary,This is a standard LRT system (2.65m wide) which uses 600V DC. The S700 series are articulated low-floor light-rail vehicles built by Siemens that have been in service across North America since 2004. This specific model is based on those recieved in 2020 by Metro Transit in Minnesota.,117.46
TRUE,S700-US,"LRT: Classic DC, LRT: Modern DC, LRT: HV DC",The S700 series are articulated low-floor light-rail vehicles built by Siemens that have been in service across North America since 2004. This specific model is based on the ultra-short model used in San Diego.,24.6,1.34,1.34,48,8.27,6,12,3,2.65,110,2185000,200,20,#EE2621,288,576,US,SD,Siemens,Standard LRT,LRT,North America,lrt-1,Standard LRT,LRT: Classic DC,TRUE,6.7,17500,25000000,6000000,catenary,Classical DC,Standard,Metro Standard,200,20,This is a standard LRT system (2.65m wide) which uses 600V DC.,standard-lrt-catenary,This is a standard LRT system (2.65m wide) which uses 600V DC. The S700 series are articulated low-floor light-rail vehicles built by Siemens that have been in service across North America since 2004. This specific model is based on the ultra-short model used in San Diego.,101.7
TRUE,SEPTA BIV,SEPTA: B,The Kawasaki BIV Subway Car is an EMU used on the B line of the Philadelphia Subway. Many of these stats are estimates due to lack of data.,24.6,1.34,1.34,150,20.574,2,5,1,3.086,110,2500000,500,50,#F26100,300,750,US,PHI,Kawasaki,Standard Heavy Metro,Heavy Metro,North America,phi-2,Standard Heavy Metro,SEPTA: B,FALSE,13,50000,75000000,15000000,tr-under,Classical DC,Standard,U.S. Passenger Standard,500,50,"The B, also known as the Broad Street Line, is part of Philadelphia's SEPTA Metro. It uses standard gauge and is wider than the L line.",standard-heavy-metro-tr-under,"The B, also known as the Broad Street Line, is part of Philadelphia's SEPTA Metro. It uses standard gauge and is wider than the L line. The Kawasaki BIV Subway Car is an EMU used on the B line of the Philadelphia Subway. Many of these stats are estimates due to lack of data.",105.37
FALSE,SEPTA LRV 9000,SEPTA: Trolley T and D,The Kawasaki LRV Series 9000 is a trolley built by Kawaski that has been in service in Philadelphia since 1980.,22.4,1.34,1.56,77,15.00,1,1,1,2.60,20,1900000,,,#5A960A,77,77,Generic,Generic,,,,Generic,#N/A,,,,,,,,,,,,,,,-, The Kawasaki LRV Series 9000 is a trolley built by Kawaski that has been in service in Philadelphia since 1980.,17.5
FALSE,SEPTA LRV 100,SEPTA: Trolley T and D,The Kawasaki LRV Series 100 is a trolley built by Kawaski that has been in service in Philadelphia since 1980.,26.8,1.34,1.56,67,16.00,1,1,1,2.69,20,1900000,,,#E5427B,67,67,Generic,Generic,,,,Generic,#N/A,,,,,,,,,,,,,,,-, The Kawasaki LRV Series 100 is a trolley built by Kawaski that has been in service in Philadelphia since 1980.,18.5
FALSE,SEPTA PCC III,SEPTA: Trolley K,"The PCC III is a derivation of the Presidents' Conference Committee Streetcar built by the St. Louis Car Company starting in 1936. SEPTA recieved theirs in 1947, and they've been refurbrished twice, first by Brookville Equipment and then in-house. They have been in service since 1948 in Philly, with the last refurbrishing being from 2020-2024.",17.9,1.60,1.60,103,14.20,1,1,1,2.44,20,216222,,,#FCD602,103,103,Generic,Generic,,,,Generic,#N/A,,,,,,,,,,,,,,,-," The PCC III is a derivation of the Presidents' Conference Committee Streetcar built by the St. Louis Car Company starting in 1936. SEPTA recieved theirs in 1947, and they've been refurbrished twice, first by Brookville Equipment and then in-house. They have been in service since 1948 in Philly, with the last refurbrishing being from 2020-2024.",16.7
TRUE,GTW 2/6 (NJT),"Light Rail DMU, U.S. Commuter Diesel",This is a variant of the Stadler GTW 2/6 which is one of the rare and bizarre light rail DMUs and is exclusively in service on NJT's River Line. Details are scarce so the acceleration and braking are guesstimates.,30.6,0.80,1.30,100,15.60,2,6,2,3.00,100,2000000,300,30,#1E2171,200,600,US,NYC,Stadler,Diesel LRT,LRT,North America,phi-5,Diesel LRT,Light Rail DMU,TRUE,6.7,13500,20000000,4500000,none,None,Standard,U.S. Passenger Standard,300,30,"This is the rather cursed creation known as diesel light rail, primarily found in southern New Jersey with the River Line. If you are building this outside of recreating said River Line you are a lunatic.",diesel-lrt-none,"This is the rather cursed creation known as diesel light rail, primarily found in southern New Jersey with the River Line. If you are building this outside of recreating said River Line you are a lunatic. This is a variant of the Stadler GTW 2/6 which is one of the rare and bizarre light rail DMUs and is exclusively in service on NJT's River Line. Details are scarce so the acceleration and braking are guesstimates.",96.1
TRUE,7000 Series (WSH),DC Metro,The 7000-series is a subway EMU built by Kawasaki for Washington DC's Subway that entered service in 2015.,33.6,1.25,0.98,175,22.86,4,8,2,3.09,200,2765152,500,50,#231F20,700,1400,US,DC,Kawasaki,Standard Heavy Metro,Heavy Metro,North America,dc-1,Standard Heavy Metro,DC Metro,FALSE,13,50000,75000000,15000000,tr-over,Modern DC,Standard,DC Metro,500,50,The Washington DC metro is a heavy rail system in the U.S. Capital operated by WMATA. It uses the rather cursed gauge of 1429 mm aka 6 mm narrower than standard.,standard-heavy-metro-tr-over,The Washington DC metro is a heavy rail system in the U.S. Capital operated by WMATA. It uses the rather cursed gauge of 1429 mm aka 6 mm narrower than standard. The 7000-series is a subway EMU built by Kawasaki for Washington DC's Subway that entered service in 2015.,185.38
TRUE,US-100 (WSH),Paris Tram Narrow,The United Streetcar 100 is a articulated low-floor streetcar built via licensing the Škoda 10T. It has been in service with the Paris Tram Narrow since 2016. Capacity is artificially higher due to game processing requirements.,17.9,1.34,1.34,67,6.67,3,3,3,2.46,25,3500000,200,20,#EF2E31,201,201,"US, US","DC, POR",Škoda,Standard LRT,LRT,"North America, North America",fr-5a,Standard LRT,Paris Tram Narrow,TRUE,6.7,17500,25000000,6000000,catenary,Modern DC,Standard,Ultra-Narrow,200,20,Paris has trams and they are quite narrow but not as much as Berlin.,standard-lrt-catenary,Paris has trams and they are quite narrow but not as much as Berlin. The United Streetcar 100 is a articulated low-floor streetcar built via licensing the Škoda 10T. It has been in service with the Paris Tram Narrow since 2016. Capacity is artificially higher due to game processing requirements.,22.5
TRUE,HHP8-BMLC,"NEC 12-25, NEC 25-60, NEC 12.5-60","The Bombardier/Alstom HHP-8 is an electric locomotive that first entered service in 2002. This specific trainset carries passengers with Bombardier MultiLevel Coach (aka Adessia Coach) cars, as used by MARC.",55.9,0.79,1.30,150,25.91,3,10,1,3.05,300,2500000,600,60,#004F98,450,1500,"US, US","DC, BWI",Bombardier,Standard Commuter,Commuter,"North America, North America",us-2,Standard Commuter,NEC 12-25,TRUE,15,45000,75000000,14000000,catenary,Pennsylvania AC,Standard,U.S. Passenger Standard,600,60,"The Northeast Corridor is the major high speed corridor in the United States that goes from Boston to Washington. It has 3 electrification standards, and this is the 12 kV 25 Hz system found approximately from DC to NYC.",standard-commuter-catenary,"The Northeast Corridor is the major high speed corridor in the United States that goes from Boston to Washington. It has 3 electrification standards, and this is the 12 kV 25 Hz system found approximately from DC to NYC. The Bombardier/Alstom HHP-8 is an electric locomotive that first entered service in 2002. This specific trainset carries passengers with Bombardier MultiLevel Coach (aka Adessia Coach) cars, as used by MARC.",261.58
TRUE,SC-BMLC,"U.S. Commuter Diesel, NEC 12-25, NEC 12.5-60, NEC 25-60","The Siemens Charger is a family of diesel locomotives that first entered service in 2017. This specific trainset carries passengers with Bombardier MultiLevel Coach (aka Adessia Coach) cars, as used by MARC.",55.9,0.69,1.30,150,25.91,3,10,1,3.05,300,2500000,800,80,#F26F21,450,1500,"US, US, CA, US, US","NYC, DC, MTL, SD, BWI",Siemens,Diesel Commuter,Commuter,"North America, North America, North America, North America, North America",us-1,Diesel Commuter,U.S. Commuter Diesel,TRUE,15,35000,60000000,13000000,none,None,Standard,U.S. Passenger Standard,800,80,This is diesel commuter rail which follows the U.S. standard loading gauge width of 3.05 meters.,diesel-commuter-none,"This is diesel commuter rail which follows the U.S. standard loading gauge width of 3.05 meters. The Siemens Charger is a family of diesel locomotives that first entered service in 2017. This specific trainset carries passengers with Bombardier MultiLevel Coach (aka Adessia Coach) cars, as used by MARC.",261.58
TRUE,CTA 5000 Series,Chicago L,The 5000 series is a subway EMU built by Bombardier for the Chicago L that entered service in 2011.,24.6,1.25,1.25,123,14.63,4,8,2,2.84,130,2500000,500,50,#009DDC,492,984,US,CHI,Bombardier,Standard Heavy Metro,Heavy Metro,North America,chi-1,Standard Heavy Metro,Chicago L,FALSE,13,50000,75000000,15000000,tr-over,Classical DC,Standard,Metro Standard,500,50,The Chicago L is the famous elevated heavy rail network found in Chicago.,standard-heavy-metro-tr-over,The Chicago L is the famous elevated heavy rail network found in Chicago. The 5000 series is a subway EMU built by Bombardier for the Chicago L that entered service in 2011.,119.5432
TRUE,CTA 3200 Series,Chicago L,The 3200 series is a subway EMU built by Morrison-Knudsen and Mafersa for the Chicago L that entered service in 2011.,24.6,1.43,1.43,108,14.63,4,8,2,2.84,130,2500000,500,50,#F06EA9,432,864,US,CHI,"Morrison-Knudsen, Mafersa",Standard Heavy Metro,Heavy Metro,North America,chi-1,Standard Heavy Metro,Chicago L,FALSE,13,50000,75000000,15000000,tr-over,Classical DC,Standard,Metro Standard,500,50,The Chicago L is the famous elevated heavy rail network found in Chicago.,standard-heavy-metro-tr-over,The Chicago L is the famous elevated heavy rail network found in Chicago. The 3200 series is a subway EMU built by Morrison-Knudsen and Mafersa for the Chicago L that entered service in 2011.,119.5432
TRUE,Highliner 2,"Metra/SSL, U.S. Commuter Diesel",The Highliner II is a bi-level commuter rail EMU built by Nippon Sharyo for Chicago's Metra that entered service in 2005.,35.3,0.61,0.67,130,25.91,2,8,2,3.00,220,2500000,600,60,#0054A4,260,1040,US,CHI,Nippon Sharyo,Standard Commuter,Commuter,North America,chi-2,Standard Commuter,Metra/SSL,FALSE,15,45000,75000000,14000000,catenary,High Voltage DC,Standard,U.S. Passenger Standard,600,60,Metra is a commuter rail network found in the Chicago Metropolitan Area.,standard-commuter-catenary,Metra is a commuter rail network found in the Chicago Metropolitan Area. The Highliner II is a bi-level commuter rail EMU built by Nippon Sharyo for Chicago's Metra that entered service in 2005.,209.78
TRUE,MPX-6000 Series,"Metra/SSL, U.S. Commuter Diesel","The MPI MPXpress is a line of diesel locomotives that first entered service in 2003. This specific trainset carries passengers with Metra's 6000 series cars, which are bilevel coaches built by Nippon Sharyo.",31.3,0.61,1.00,150,25.91,2,8,1,3.05,240,2500000,600,60,#ED1C24,300,1200,US,CHI,"MPI,Nippon Sharyo",Standard Commuter,Commuter,North America,chi-2,Standard Commuter,Metra/SSL,FALSE,15,45000,75000000,14000000,catenary,High Voltage DC,Standard,U.S. Passenger Standard,600,60,Metra is a commuter rail network found in the Chicago Metropolitan Area.,standard-commuter-catenary,"Metra is a commuter rail network found in the Chicago Metropolitan Area. The MPI MPXpress is a line of diesel locomotives that first entered service in 2003. This specific trainset carries passengers with Metra's 6000 series cars, which are bilevel coaches built by Nippon Sharyo.",209.78
TRUE,FLIRT Akku,"Metra/SSL, U.S. Commuter Diesel","The FLIRT Akku is a commuter rail battery-capable EMU family built by Stadler for railways across the world in operation since 2023. It operates on battery power for up to 150 km when electric is unavailable. It is generally in 2 car sets, but it can use trailer cars to hit any number of cars desired.",44.7,0.90,1.00,120,25.91,2,8,1,3.05,240,2500000,600,60,#0B3F75,240,960,US,CHI,Stadler,Standard Commuter,Commuter,North America,chi-2,Standard Commuter,Metra/SSL,FALSE,15,45000,75000000,14000000,catenary,High Voltage DC,Standard,U.S. Passenger Standard,600,60,Metra is a commuter rail network found in the Chicago Metropolitan Area.,standard-commuter-catenary,"Metra is a commuter rail network found in the Chicago Metropolitan Area. The FLIRT Akku is a commuter rail battery-capable EMU family built by Stadler for railways across the world in operation since 2023. It operates on battery power for up to 150 km when electric is unavailable. It is generally in 2 car sets, but it can use trailer cars to hit any number of cars desired.",209.78
TRUE,2024 Stock (LDN),London Deep Tube,"2024 Stock is a subway EMU built by Siemens as part of their Inspiro family. It will enter service around mid-2026 on the Picadilly Line, and potentially later the Central, Waterloo & City, and Bakerloo lines.",27.5,1.40,1.40,116,12.63,9,9,9,2.65,150,2000000,500,50,#1B3F94,1044,1044,UK,LDN,Siemens,Standard Heavy Metro,Heavy Metro,Europe,ldn-1,Standard Heavy Metro,London Deep Tube,FALSE,13,50000,75000000,15000000,four-rail,Classical DC,Standard,Metro Standard,500,50,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power.",standard-heavy-metro-four-rail,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power. 2024 Stock is a subway EMU built by Siemens as part of their Inspiro family. It will enter service around mid-2026 on the Picadilly Line, and potentially later the Central, Waterloo & City, and Bakerloo lines.",116.17
TRUE,1972 Stock (LDN),London Deep Tube,"1972 Stock is a subway EMU built by Metro-Cammell for London's Deep Tube that entered service on the Bakerloo Line. They were refurbrished twice: in 1991 by Tickford, and in 2016 by Acton Works.",20.0,1.30,1.15,122,16.22,7,7,7,2.64,150,2500000,500,50,#B05F0F,854,854,UK,LDN,Metro-Cammell,Standard Heavy Metro,Heavy Metro,Europe,ldn-1,Standard Heavy Metro,London Deep Tube,FALSE,13,50000,75000000,15000000,four-rail,Classical DC,Standard,Metro Standard,500,50,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power.",standard-heavy-metro-four-rail,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power. 1972 Stock is a subway EMU built by Metro-Cammell for London's Deep Tube that entered service on the Bakerloo Line. They were refurbrished twice: in 1991 by Tickford, and in 2016 by Acton Works.",116.052
TRUE,1973 Stock (LDN),London Deep Tube,1973 Stock is a subway EMU built by Metro-Cammell for London's Deep Tube that entered service on the Piccadilly Line. They were refurbrished in 1996 by Bombardier Prorail.,20.0,1.30,1.15,114,17.80,3,6,3,2.63,150,2500000,500,50,#122B63,342,684,UK,LDN,Metro-Cammell,Standard Heavy Metro,Heavy Metro,Europe,ldn-1,Standard Heavy Metro,London Deep Tube,FALSE,13,50000,75000000,15000000,four-rail,Classical DC,Standard,Metro Standard,500,50,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power.",standard-heavy-metro-four-rail,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power. 1973 Stock is a subway EMU built by Metro-Cammell for London's Deep Tube that entered service on the Piccadilly Line. They were refurbrished in 1996 by Bombardier Prorail.",109.31
TRUE,1992 Stock (LDN),London Deep Tube,"1992 Stock is a subway EMU built by BREL and ABB for London's Deep Tube that entered service on the Central Line, and is now also used on the Waterloo & City Line. Waterloo & City Line sets were refurbrished in 2006, while Central were in 2019.",27.8,1.30,1.15,129,16.25,4,8,4,2.62,150,2500000,500,50,#E02525,516,1032,UK,LDN,"BREL, ABB",Standard Heavy Metro,Heavy Metro,Europe,ldn-1,Standard Heavy Metro,London Deep Tube,FALSE,13,50000,75000000,15000000,four-rail,Classical DC,Standard,Metro Standard,500,50,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power.",standard-heavy-metro-four-rail,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power. 1992 Stock is a subway EMU built by BREL and ABB for London's Deep Tube that entered service on the Central Line, and is now also used on the Waterloo & City Line. Waterloo & City Line sets were refurbrished in 2006, while Central were in 2019.",132.5
TRUE,1996 Stock (LDN),London Deep Tube,1996 Stock is a subway EMU built by Alstom for London's Deep Tube that entered service on the Jubilee Line.,27.8,1.30,1.15,125,17.77,7,7,7,2.63,150,2500000,500,50,#7B848B,875,875,UK,LDN,Alstom,Standard Heavy Metro,Heavy Metro,Europe,ldn-1,Standard Heavy Metro,London Deep Tube,FALSE,13,50000,75000000,15000000,four-rail,Classical DC,Standard,Metro Standard,500,50,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power.",standard-heavy-metro-four-rail,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power. 1996 Stock is a subway EMU built by Alstom for London's Deep Tube that entered service on the Jubilee Line.",126.89
TRUE,2009 Stock (LDN),London Deep Tube,2009 Stock is a subway EMU built by Bombardier for London's Deep Tube that entered service on the Victoria Line.,22.2,1.30,1.15,141,16.66,4,8,4,2.68,150,2500000,500,50,#0C9FDC,564,1128,UK,LDN,Bombardier,Standard Heavy Metro,Heavy Metro,Europe,ldn-1,Standard Heavy Metro,London Deep Tube,FALSE,13,50000,75000000,15000000,four-rail,Classical DC,Standard,Metro Standard,500,50,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power.",standard-heavy-metro-four-rail,"The London Underground (aka The Tube) is the world's first subway system, and this is the 'Deep Tube' standard, which is narrower than the 'Subsurface Tube'. Also, the Tube all uses 4-rail power. 2009 Stock is a subway EMU built by Bombardier for London's Deep Tube that entered service on the Victoria Line.",135.775
